"","Sample.Name","Lipid.Extracted.","Spp","Scientific.Name","Tow","Replicate","Plate","Well","Mass"
"131","FS65",FALSE,"Grey Gurnard","Eutrigla gurnardus",43,"C","","",NA
"132","FS66",FALSE,"Norway Pout","Trisopterus esmarkii",26,"B","","",NA
"133","FS67",FALSE,"Norway Pout","Trisopterus esmarkii",33,"A","","",NA
"134","FS68",FALSE,"Squid","Decapodiformes",38,"A","","",NA
"135","FS69",FALSE,"Squid","Decapodiformes",38,"B","","",NA
"136","FS6",FALSE,"Argentine","Argentina sphyraena",33,"A","","",NA
"137","FS70",FALSE,"Squid","Decapodiformes",38,"C","","",NA
"138","FS7",FALSE,"Long Rough Dab","Hippoglossoides platessoides",33,"B","","",NA
"139","FS8",FALSE,"Common Dab","Limanda limanda",41,"A","","",NA
"140","FS9",FALSE,"Grey Gurnard","Eutrigla gurnardus",19,"C?","","",NA
