group,Meand13c,SDd13c,Meand15n,SDd15n
Flatfish,0.8,0.2,3.1,0.4
Scorpionfish,0.8,0.2,3.1,0.4
Squid,0.8,0.2,3.1,0.4
Plaice,0.8,0.2,3.1,0.4
Small Benthics,0.8,0.2,3.1,0.4
Bluemouth,0.8,0.2,3.1,0.4
Pelagics,0.8,0.2,3.1,0.4
Pelagic Sandeel*,0.8,0.2,3.1,0.4
