group,Meand13c,SDd13c,Meand15n,SDd15n
Bluemouth,0.8,0.2,3.1,0.4
Pealgics,0.8,0.2,3.1,0.4
Plaice,0.8,0.2,3.1,0.4
Flatfish,0.8,0.2,3.1,0.4
Scorpionfish,0.8,0.2,3.1,0.4
Squid,0.8,0.2,3.1,0.4
Trisopterus,0.8,0.2,3.1,0.4
Sandeel,0.8,0.2,3.1,0.4
