group,Meand13c,SDd13c,Meand15n,SDd15n
Norway Pout,0.8,0.2,3.1,0.4
Bluemouth,0.8,0.2,3.1,0.4
Argentine,0.8,0.2,3.1,0.4
Poor Cod,0.8,0.2,3.1,0.4
Cod,0.8,0.2,3.1,0.4
Benthic Sandeel,0.8,0.2,3.1,0.4
Pelagic Sandeel,0.8,0.2,3.1,0.4
