name,δ15N,δ13C,%N,%C,C/N
FS48LE,11.03821858,-17.5914362,12.49366631,39.93848251,3.196698353
FS49LE,10.95901167,-19.20362927,11.1300641,38.52263718,3.461133453
FS50LE,11.22230467,-16.9503964,12.25269772,41.30586187,3.371164686
FS51LE,10.50647313,-18.5900314,11.57762242,37.63262549,3.250462325
FS52LE,11.37311099,-17.66443437,12.77632711,41.68160758,3.262409238
FS53LE,10.31361445,-17.55495719,11.41058508,43.14788494,3.781391106
FS54LE,9.854918216,-18.5197391,8.633578318,27.98987812,3.241978829
FS55LE,11.26850242,-17.59427448,12.29102607,39.08350875,3.17984101
FS56LE,10.23058205,-17.16046232,12.61998425,40.54238573,3.212554383
FS57LE,12.37821924,-16.83314968,13.05357806,40.68542091,3.116802207
FS58LE,9.622782194,-17.47638176,11.39188811,40.5677467,3.561108247
FS59LE,11.02262273,-16.94902095,12.79860109,40.15673824,3.137588082
FS4,11.84356841,-17.39113544,12.97081842,42.97852532,3.313478296
FS16,11.54705434,-18.42706698,11.21476315,37.74486781,3.365641102
FS9,10.83361096,-17.95843933,13.09437786,41.93509443,3.202526678
FS7,9.069478396,-18.48612332,12.10766108,43.51148971,3.593715535
FS6,11.87115367,-17.85775002,12.76946676,43.24075969,3.386261971
FS8,10.92712744,-18.64804721,9.157980536,37.65519517,4.111735662
FS10,11.02301968,-17.87045886,12.80104889,42.95613816,3.355673313
FS1,9.989380489,-17.67795316,12.01556941,43.0211196,3.580447844
FS3,11.20628884,-17.33833953,13.06023406,42.27989368,3.237299845
FS12,10.1627027,-17.90271089,11.93857961,43.32829972,3.629267561
FS4LE,11.28971579,-16.93078349,12.76308643,40.56344964,3.178184984
FS29,10.76356026,-17.81889993,12.74405943,40.37651616,3.16826176
FS22,9.659242639,-19.50773507,11.99690288,40.89958265,3.409178442
FS26,11.62757955,-17.83200766,12.99784085,41.81858383,3.217348505
FS28,11.38898676,-17.84914217,13.231022,41.50939676,3.13727819
FS30,8.629290307,-18.97591401,13.10126209,41.1555113,3.141339438
FS14,9.033032436,-18.11186167,11.10462468,44.82492223,4.036599481
FS13,9.730036466,-18.23636999,11.20698744,44.97599573,4.013210149
FS15,10.8758121,-18.42906482,10.59059952,37.45018004,3.536171863
FS11,10.71447535,-17.61388434,12.85216515,42.25039676,3.28741471
FS2,11.44993083,-18.39882254,11.29392136,38.60166593,3.41791524
FS5,-44.23,27.66,0.01,0.01,1.2
