Spp,Meand13c,SDd13c,Meand15n,SDd15n
Grey Gurnard,1.6,0,2.6,0
Common Dab,1.6,0,2.6,0
Long Rough Dab,1.6,0,2.6,0
Squid,1.6,0,2.6,0
Plaice,1.6,0,2.6,0
Lemon Sole,1.6,0,2.6,0
Norway Pout,1.6,0,2.6,0
Red Gurnard,1.6,0,2.6,0
Bluemouth,1.6,0,2.6,0
Blue Whiting,1.6,0,2.6,0
Argentine,1.6,0,2.6,0
Poor Cod,1.6,0,2.6,0
Cod,1.6,0,2.6,0
