name,d15n,d13c,X.N,X.C,C.N.ratio,Species,Type
D011_R,13.35,-17.86,15.27,49.61,3.2,Grey,RBC
D008_R,14.01,-17.33,14.94,48.43,3.2,Grey,RBC
D001_R,14.02,-17.98,14.8,47.81,3.2,Grey,RBC
D004_R,13.79,-17.78,14.99,48.15,3.2,Grey,RBC
D003_R,13.76,-17.78,15.44,49.67,3.2,Grey,RBC
D007_R,14.74,-17.2,14.87,48.26,3.2,Grey,RBC
D002_R,14.61,-17.25,14.15,45.95,3.2,Grey,RBC
D006_R,14.28,-17.26,14.94,48.1,3.2,Grey,RBC
D005_R,13.44,-18.31,14.91,47.96,3.2,Grey,RBC
