,name,δ15N..air,δ13C...V.PDB,X.N,X.C,C.N.ratio,Species,Type,Region
72,005_DR,15.07610211,-17.09874611,14.49838998,47.73182723,3.292215707,Harbor,RBC,1
73,001_DR,14.03038028,-17.53987078,14.56519068,47.36972524,3.252255756,Harbor,RBC,1
74,002_DR,14.23004609,-17.27279536,14.63982895,48.16632214,3.290087767,Harbor,RBC,1
75,D007P,14.51004657,-18.26486691,11.46798441,43.41446053,3.785709761,Grey,Plasma,1
76,D008P,13.81890561,-18.58655323,11.53741998,43.35794928,3.758028167,Grey,Plasma,1
77,D010P,13.73886256,-18.70492421,11.30728009,43.47481696,3.844851866,Grey,Plasma,1
78,012_DP,12.95037613,-18.70791516,11.16652887,42.19483312,3.7786884,Harbor,Plasma,1
79,022_DP,13.74409395,-17.82000427,11.794638,43.2988938,3.671065938,Harbor,Plasma,1
80,011_DP,13.24928096,-19.14191948,10.82409671,40.93748043,3.782068983,Harbor,Plasma,1
81,014_DP,13.28460327,-18.82387652,11.44183833,42.07521389,3.677312393,Harbor,Plasma,1
