group,Meand13c,SDd13c,Meand15n,SDd15n
scorpionfish,0.8,0.1,3.3,0.1
Flatfish,0.8,0.1,3.3,0.1
Squid,0.8,0.1,3.3,0.1
trisopterus,0.8,0.1,3.3,0.1
Bluemouth,0.8,0.1,3.3,0.1
Argentine,0.8,0.1,3.3,0.1
Cod,0.8,0.1,3.3,0.1
